work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,se,ft,data analyst,84900,usd,84900,us,100,us,m
2022,se,ft,data scientist,136620,usd,136620,us,100,us,m
2022,se,ft,data scientist,99360,usd,99360,us,100,us,m
2022,se,ft,data scientist,90000,gbp,117789,gb,0,gb,m
2022,se,ft,data scientist,80000,gbp,104702,gb,0,gb,m
2022,se,ft,data scientist,146000,usd,146000,us,100,us,m
2022,se,ft,data scientist,123000,usd,123000,us,100,us,m
2022,en,ft,data engineer,40000,gbp,52351,gb,100,gb,m
2022,se,ft,data analyst,99000,usd,99000,us,0,us,m
2022,se,ft,data analyst,116000,usd,116000,us,0,us,m
2022,mi,ft,data analyst,106260,usd,106260,us,0,us,m
2022,mi,ft,data analyst,126500,usd,126500,us,0,us,m
2022,ex,ft,data engineer,242000,usd,242000,us,100,us,m
2022,ex,ft,data engineer,200000,usd,200000,us,100,us,m
2022,mi,ft,data scientist,50000,gbp,65438,gb,0,gb,m
2022,mi,ft,data scientist,30000,gbp,39263,gb,0,gb,m
2022,mi,ft,data engineer,60000,gbp,78526,gb,0,gb,m
2022,mi,ft,data engineer,40000,gbp,52351,gb,0,gb,m
2022,se,ft,data scientist,165220,usd,165220,us,100,us,m
2022,en,ft,data engineer,35000,gbp,45807,gb,100,gb,m
2022,se,ft,data scientist,120160,usd,120160,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,se,ft,data engineer,181940,usd,181940,us,0,us,m
2022,se,ft,data engineer,132320,usd,132320,us,0,us,m
2022,se,ft,data engineer,220110,usd,220110,us,0,us,m
2022,se,ft,data engineer,160080,usd,160080,us,0,us,m
2022,se,ft,data scientist,180000,usd,180000,us,0,us,l
2022,se,ft,data scientist,120000,usd,120000,us,0,us,l
2022,se,ft,data analyst,124190,usd,124190,us,100,us,m
2022,ex,ft,data analyst,130000,usd,130000,us,100,us,m
2022,ex,ft,data analyst,110000,usd,110000,us,100,us,m
2022,se,ft,data analyst,170000,usd,170000,us,100,us,m
2022,mi,ft,data analyst,115500,usd,115500,us,100,us,m
2022,se,ft,data analyst,112900,usd,112900,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,se,ft,data analyst,112900,usd,112900,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,se,ft,data engineer,165400,usd,165400,us,100,us,m
2022,se,ft,data engineer,132320,usd,132320,us,100,us,m
2022,mi,ft,data analyst,167000,usd,167000,us,100,us,m
2022,se,ft,data engineer,243900,usd,243900,us,100,us,m
2022,se,ft,data analyst,136600,usd,136600,us,100,us,m
2022,se,ft,data analyst,109280,usd,109280,us,100,us,m
2022,se,ft,data engineer,128875,usd,128875,us,100,us,m
2022,se,ft,data engineer,93700,usd,93700,us,100,us,m
2022,ex,ft,head of data science,224000,usd,224000,us,100,us,m
2022,ex,ft,head of data science,167875,usd,167875,us,100,us,m
2022,ex,ft,analytics engineer,175000,usd,175000,us,100,us,m
2022,se,ft,data engineer,156600,usd,156600,us,100,us,m
2022,se,ft,data engineer,108800,usd,108800,us,0,us,m
2022,se,ft,data scientist,95550,usd,95550,us,0,us,m
2022,se,ft,data engineer,113000,usd,113000,us,0,us,l
2022,se,ft,data analyst,135000,usd,135000,us,100,us,m
2022,se,ft,data science manager,161342,usd,161342,us,100,us,m
2022,se,ft,data science manager,137141,usd,137141,us,100,us,m
2022,se,ft,data scientist,167000,usd,167000,us,100,us,m
2022,se,ft,data scientist,123000,usd,123000,us,100,us,m
2022,se,ft,data engineer,60000,gbp,78526,gb,0,gb,m
2022,se,ft,data engineer,50000,gbp,65438,gb,0,gb,m
2022,se,ft,data scientist,150000,usd,150000,us,0,us,m
2022,se,ft,data scientist,211500,usd,211500,us,100,us,m
2022,se,ft,data architect,192400,usd,192400,ca,100,ca,m
2022,se,ft,data architect,90700,usd,90700,ca,100,ca,m
2022,se,ft,data analyst,130000,usd,130000,ca,100,ca,m
2022,se,ft,data analyst,61300,usd,61300,ca,100,ca,m
2022,se,ft,data analyst,130000,usd,130000,ca,100,ca,m
2022,se,ft,data analyst,61300,usd,61300,ca,100,ca,m
2022,se,ft,data engineer,160000,usd,160000,us,0,us,l
2022,se,ft,data scientist,138600,usd,138600,us,100,us,m
2022,se,ft,data engineer,136000,usd,136000,us,0,us,m
2022,mi,ft,data analyst,58000,usd,58000,us,0,us,s
2022,ex,ft,analytics engineer,135000,usd,135000,us,100,us,m
2022,se,ft,data scientist,170000,usd,170000,us,100,us,m
2022,se,ft,data scientist,123000,usd,123000,us,100,us,m
2022,se,ft,machine learning engineer,189650,usd,189650,us,0,us,m
2022,se,ft,machine learning engineer,164996,usd,164996,us,0,us,m
2022,mi,ft,etl developer,50000,eur,54957,gr,0,gr,m
2022,mi,ft,etl developer,50000,eur,54957,gr,0,gr,m
2022,ex,ft,lead data engineer,150000,cad,118187,ca,100,ca,s
2022,se,ft,data analyst,132000,usd,132000,us,0,us,m
2022,se,ft,data engineer,165400,usd,165400,us,100,us,m
2022,se,ft,data architect,208775,usd,208775,us,100,us,m
2022,se,ft,data architect,147800,usd,147800,us,100,us,m
2022,se,ft,data engineer,136994,usd,136994,us,100,us,m
2022,se,ft,data engineer,101570,usd,101570,us,100,us,m
2022,se,ft,data analyst,128875,usd,128875,us,100,us,m
2022,se,ft,data analyst,93700,usd,93700,us,100,us,m
2022,ex,ft,head of machine learning,6000000,inr,79039,in,50,in,l
2022,se,ft,data engineer,132320,usd,132320,us,100,us,m
2022,en,ft,machine learning engineer,28500,gbp,37300,gb,100,gb,l
2022,se,ft,data analyst,164000,usd,164000,us,0,us,m
2022,se,ft,data engineer,155000,usd,155000,us,100,us,m
2022,mi,ft,machine learning engineer,95000,gbp,124333,gb,0,gb,m
2022,mi,ft,machine learning engineer,75000,gbp,98158,gb,0,gb,m
2022,mi,ft,ai scientist,120000,usd,120000,us,0,us,m
2022,se,ft,data analyst,112900,usd,112900,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,se,ft,data analytics manager,145000,usd,145000,us,100,us,m
2022,se,ft,data analytics manager,105400,usd,105400,us,100,us,m
2022,mi,ft,machine learning engineer,80000,eur,87932,fr,100,de,m
2022,mi,ft,data engineer,90000,gbp,117789,gb,0,gb,m
2022,se,ft,data scientist,215300,usd,215300,us,100,us,l
2022,se,ft,data scientist,158200,usd,158200,us,100,us,l
2022,se,ft,data engineer,209100,usd,209100,us,100,us,l
2022,se,ft,data engineer,154600,usd,154600,us,100,us,l
2022,se,ft,data analyst,115934,usd,115934,us,0,us,m
2022,se,ft,data analyst,81666,usd,81666,us,0,us,m
2022,se,ft,data engineer,175000,usd,175000,us,100,us,m
2022,mi,ft,data engineer,75000,gbp,98158,gb,0,gb,m
2022,mi,ft,data analyst,58000,usd,58000,us,0,us,s
2022,se,ft,data engineer,183600,usd,183600,us,100,us,l
2022,mi,ft,data analyst,40000,gbp,52351,gb,100,gb,m
2022,se,ft,data scientist,180000,usd,180000,us,100,us,m
2022,mi,ft,data scientist,55000,gbp,71982,gb,0,gb,m
2022,mi,ft,data scientist,35000,gbp,45807,gb,0,gb,m
2022,mi,ft,data engineer,60000,eur,65949,gr,100,gr,m
2022,mi,ft,data engineer,45000,eur,49461,gr,100,gr,m
2022,mi,ft,data engineer,60000,gbp,78526,gb,100,gb,m
2022,mi,ft,data engineer,45000,gbp,58894,gb,100,gb,m
2022,se,ft,data scientist,260000,usd,260000,us,100,us,m
2022,se,ft,data science engineer,60000,usd,60000,ar,100,mx,l
2022,mi,ft,data engineer,63900,usd,63900,us,0,us,m
2022,mi,ft,machine learning scientist,160000,usd,160000,us,100,us,l
2022,mi,ft,machine learning scientist,112300,usd,112300,us,100,us,l
2022,mi,ft,data science manager,241000,usd,241000,us,100,us,m
2022,mi,ft,data science manager,159000,usd,159000,us,100,us,m
2022,se,ft,data scientist,180000,usd,180000,us,0,us,m
2022,se,ft,data scientist,80000,usd,80000,us,0,us,m
2022,mi,ft,data engineer,82900,usd,82900,us,0,us,m
2022,se,ft,data engineer,100800,usd,100800,us,100,us,l
2022,mi,ft,data engineer,45000,eur,49461,es,100,es,m
2022,se,ft,data scientist,140400,usd,140400,us,0,us,l
2022,mi,ft,data analyst,30000,gbp,39263,gb,100,gb,m
2022,mi,ft,data analyst,40000,eur,43966,es,100,es,m
2022,mi,ft,data analyst,30000,eur,32974,es,100,es,m
2022,mi,ft,data engineer,80000,eur,87932,es,100,es,m
2022,mi,ft,data engineer,70000,eur,76940,es,100,es,m
2022,mi,ft,data engineer,80000,gbp,104702,gb,100,gb,m
2022,mi,ft,data engineer,70000,gbp,91614,gb,100,gb,m
2022,mi,ft,data engineer,60000,eur,65949,es,100,es,m
2022,mi,ft,data engineer,80000,eur,87932,gr,100,gr,m
2022,se,ft,machine learning engineer,189650,usd,189650,us,0,us,m
2022,se,ft,machine learning engineer,164996,usd,164996,us,0,us,m
2022,mi,ft,data analyst,40000,eur,43966,gr,100,gr,m
2022,mi,ft,data analyst,30000,eur,32974,gr,100,gr,m
2022,mi,ft,data engineer,75000,gbp,98158,gb,100,gb,m
2022,mi,ft,data engineer,60000,gbp,78526,gb,100,gb,m
2022,se,ft,data scientist,215300,usd,215300,us,0,us,l
2022,mi,ft,data engineer,70000,eur,76940,gr,100,gr,m
2022,se,ft,data engineer,209100,usd,209100,us,100,us,l
2022,se,ft,data engineer,154600,usd,154600,us,100,us,l
2022,se,ft,data engineer,180000,usd,180000,us,100,us,m
2022,en,ft,ml engineer,20000,eur,21983,pt,100,pt,l
2022,se,ft,data engineer,80000,usd,80000,us,100,us,m
2022,mi,ft,machine learning developer,100000,cad,78791,ca,100,ca,m
2022,ex,ft,director of data science,250000,cad,196979,ca,50,ca,l
2022,mi,ft,machine learning engineer,120000,usd,120000,us,100,us,s
2022,en,ft,computer vision engineer,125000,usd,125000,us,0,us,m
2022,mi,ft,nlp engineer,240000,cny,37236,us,50,us,l
2022,se,ft,data engineer,105000,usd,105000,us,100,us,m
2022,se,ft,lead machine learning engineer,80000,eur,87932,de,0,de,m
2022,mi,ft,business data analyst,1400000,inr,18442,in,100,in,m
2022,mi,ft,data scientist,2400000,inr,31615,in,100,in,l
2022,mi,ft,machine learning infrastructure engineer,53000,eur,58255,pt,50,pt,l
2022,en,ft,financial data analyst,100000,usd,100000,us,50,us,l
2022,mi,pt,data engineer,50000,eur,54957,de,50,de,l
2022,en,ft,data scientist,1400000,inr,18442,in,100,in,m
2022,se,ft,principal data scientist,148000,eur,162674,de,100,de,m
2022,en,ft,data engineer,120000,usd,120000,us,100,us,m
2022,se,ft,research scientist,144000,usd,144000,us,50,us,l
2022,se,ft,data scientist,104890,usd,104890,us,100,us,m
2022,se,ft,data engineer,100000,usd,100000,us,100,us,m
2022,se,ft,data scientist,140000,usd,140000,us,100,us,m
2022,mi,ft,data analyst,135000,usd,135000,us,100,us,m
2022,mi,ft,data analyst,50000,usd,50000,us,100,us,m
2022,se,ft,data scientist,220000,usd,220000,us,100,us,m
2022,se,ft,data scientist,140000,usd,140000,us,100,us,m
2022,mi,ft,data scientist,140000,gbp,183228,gb,0,gb,m
2022,mi,ft,data scientist,70000,gbp,91614,gb,0,gb,m
2022,se,ft,data scientist,185100,usd,185100,us,100,us,m
2022,se,ft,machine learning engineer,220000,usd,220000,us,100,us,m
2022,mi,ft,data scientist,200000,usd,200000,us,100,us,m
2022,mi,ft,data scientist,120000,usd,120000,us,100,us,m
2022,se,ft,machine learning engineer,120000,usd,120000,ae,100,ae,s
2022,se,ft,machine learning engineer,65000,usd,65000,ae,100,ae,s
2022,ex,ft,data engineer,324000,usd,324000,us,100,us,m
2022,ex,ft,data engineer,216000,usd,216000,us,100,us,m
2022,se,ft,data engineer,210000,usd,210000,us,100,us,m
2022,se,ft,machine learning engineer,120000,usd,120000,us,100,us,m
2022,se,ft,data scientist,230000,usd,230000,us,100,us,m
2022,en,pt,data scientist,100000,usd,100000,dz,50,dz,m
2022,mi,fl,data scientist,100000,usd,100000,ca,100,us,m
2022,en,ct,applied machine learning scientist,29000,eur,31875,tn,100,cz,m
2022,se,ft,head of data,200000,usd,200000,my,100,us,m
2022,mi,ft,principal data analyst,75000,usd,75000,ca,100,ca,s
2022,mi,ft,data scientist,150000,pln,35590,pl,100,pl,l
2022,se,ft,machine learning developer,100000,cad,78791,ca,100,ca,m
2022,se,ft,data scientist,100000,usd,100000,br,100,us,m
2022,mi,ft,machine learning scientist,153000,usd,153000,us,50,us,m
2022,en,ft,data engineer,52800,eur,58035,pk,100,de,m
2022,se,ft,data scientist,165000,usd,165000,us,100,us,m
2022,se,ft,research scientist,85000,eur,93427,fr,50,fr,l
2022,en,ft,data scientist,66500,cad,52396,ca,100,ca,l
2022,se,ft,machine learning engineer,57000,eur,62651,nl,100,nl,l
2022,mi,ft,head of data,30000,eur,32974,ee,100,ee,s
2022,en,ft,data scientist,40000,usd,40000,jp,100,my,l
2022,mi,ft,machine learning engineer,121000,aud,87425,au,100,au,l
2022,se,ft,data engineer,115000,usd,115000,us,100,us,m
2022,en,ft,data scientist,120000,aud,86703,au,50,au,m
2022,mi,ft,applied machine learning scientist,75000,usd,75000,bo,100,us,l
2022,mi,ft,research scientist,59000,eur,64849,at,0,at,l
2022,en,ft,research scientist,120000,usd,120000,us,100,us,l
2022,mi,ft,applied data scientist,157000,usd,157000,us,100,us,l
2022,en,ft,computer vision software engineer,150000,usd,150000,au,100,au,s
2022,mi,ft,business data analyst,90000,cad,70912,ca,50,ca,l
2022,en,ft,data engineer,65000,usd,65000,us,100,us,s
2022,se,ft,machine learning engineer,65000,eur,71444,ie,100,ie,s
2022,en,ft,data analytics engineer,20000,usd,20000,pk,0,pk,m
2022,mi,ft,data scientist,48000,usd,48000,ru,100,us,s
2022,se,ft,data science manager,152500,usd,152500,us,100,us,m
2022,mi,ft,data engineer,62000,eur,68147,fr,100,fr,m
2022,mi,ft,data scientist,115000,chf,122346,ch,0,ch,l
2022,se,ft,applied data scientist,380000,usd,380000,us,100,us,l
2022,mi,ft,data scientist,88000,cad,69336,ca,100,ca,m
2022,en,ft,computer vision engineer,10000,usd,10000,pt,100,lu,m
2022,mi,ft,data analyst,20000,usd,20000,gr,100,gr,s
2022,se,ft,data analytics lead,405000,usd,405000,us,100,us,l
2022,mi,ft,data scientist,135000,usd,135000,us,100,us,l
2022,se,ft,applied data scientist,177000,usd,177000,us,100,us,l
2022,mi,ft,data scientist,78000,usd,78000,us,100,us,m
2022,se,ft,data analyst,135000,usd,135000,us,100,us,m
2022,se,ft,data analyst,100000,usd,100000,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,mi,ft,data analyst,85000,usd,85000,ca,0,ca,m
2022,mi,ft,data analyst,75000,usd,75000,ca,0,ca,m
2022,se,ft,machine learning engineer,214000,usd,214000,us,100,us,m
2022,se,ft,machine learning engineer,192600,usd,192600,us,100,us,m
2022,se,ft,data architect,266400,usd,266400,us,100,us,m
2022,se,ft,data architect,213120,usd,213120,us,100,us,m
2022,se,ft,data analyst,112900,usd,112900,us,100,us,m
2022,se,ft,data engineer,155000,usd,155000,us,100,us,m
2022,mi,ft,data scientist,141300,usd,141300,us,0,us,m
2022,mi,ft,data scientist,102100,usd,102100,us,0,us,m
2022,se,ft,data analyst,115934,usd,115934,us,100,us,m
2022,se,ft,data analyst,81666,usd,81666,us,100,us,m
2022,mi,ft,data engineer,206699,usd,206699,us,0,us,m
2022,mi,ft,data engineer,99100,usd,99100,us,0,us,m
2022,se,ft,data engineer,130000,usd,130000,us,100,us,m
2022,se,ft,data engineer,115000,usd,115000,us,100,us,m
2022,se,ft,data engineer,110500,usd,110500,us,100,us,m
2022,se,ft,data engineer,130000,usd,130000,us,100,us,m
2022,se,ft,data analyst,99050,usd,99050,us,100,us,m
2022,se,ft,data engineer,160000,usd,160000,us,100,us,m
2022,se,ft,data scientist,205300,usd,205300,us,0,us,l
2022,se,ft,data scientist,140400,usd,140400,us,0,us,l
2022,se,ft,data scientist,176000,usd,176000,us,100,us,m
2022,se,ft,data scientist,144000,usd,144000,us,100,us,m
2022,se,ft,data engineer,200100,usd,200100,us,100,us,m
2022,se,ft,data engineer,160000,usd,160000,us,100,us,m
2022,se,ft,data engineer,145000,usd,145000,us,100,us,m
2022,se,ft,data engineer,70500,usd,70500,us,0,us,m
2022,se,ft,data scientist,205300,usd,205300,us,0,us,m
2022,se,ft,data scientist,140400,usd,140400,us,0,us,m
2022,se,ft,analytics engineer,205300,usd,205300,us,0,us,m
2022,se,ft,analytics engineer,184700,usd,184700,us,0,us,m
2022,se,ft,data engineer,175100,usd,175100,us,100,us,m
2022,se,ft,data engineer,140250,usd,140250,us,100,us,m
2022,se,ft,data analyst,116150,usd,116150,us,100,us,m
2022,se,ft,data engineer,54000,usd,54000,us,0,us,m
2022,se,ft,data analyst,170000,usd,170000,us,100,us,m
2022,mi,ft,data analyst,50000,gbp,65438,gb,0,gb,m
2022,se,ft,data analyst,80000,usd,80000,us,100,us,m
2022,se,ft,data scientist,140000,usd,140000,us,100,us,m
2022,se,ft,data scientist,210000,usd,210000,us,100,us,m
2022,se,ft,data scientist,140000,usd,140000,us,100,us,m
2022,se,ft,data analyst,100000,usd,100000,us,100,us,m
2022,se,ft,data analyst,69000,usd,69000,us,100,us,m
2022,se,ft,data scientist,210000,usd,210000,us,100,us,m
2022,se,ft,data scientist,140000,usd,140000,us,100,us,m
2022,se,ft,data scientist,210000,usd,210000,us,100,us,m
2022,se,ft,data analyst,150075,usd,150075,us,100,us,m
2022,se,ft,data engineer,100000,usd,100000,us,100,us,m
2022,se,ft,data engineer,25000,usd,25000,us,100,us,m
2022,se,ft,data analyst,126500,usd,126500,us,100,us,m
2022,se,ft,data analyst,106260,usd,106260,us,100,us,m
2022,se,ft,data engineer,220110,usd,220110,us,100,us,m
2022,se,ft,data engineer,160080,usd,160080,us,100,us,m
2022,se,ft,data analyst,105000,usd,105000,us,100,us,m
2022,se,ft,data analyst,110925,usd,110925,us,100,us,m
2022,mi,ft,data analyst,35000,gbp,45807,gb,0,gb,m
2022,se,ft,data scientist,140000,usd,140000,us,100,us,m
2022,se,ft,data analyst,99000,usd,99000,us,0,us,m
2022,se,ft,data analyst,60000,usd,60000,us,100,us,m
2022,se,ft,data architect,192564,usd,192564,us,100,us,m
2022,se,ft,data architect,144854,usd,144854,us,100,us,m
2022,se,ft,data scientist,230000,usd,230000,us,100,us,m
2022,se,ft,data scientist,150000,usd,150000,us,100,us,m
2022,se,ft,data analytics manager,150260,usd,150260,us,100,us,m
2022,se,ft,data analytics manager,109280,usd,109280,us,100,us,m
2022,se,ft,data scientist,210000,usd,210000,us,100,us,m
2022,se,ft,data analyst,170000,usd,170000,us,100,us,m
2022,mi,ft,data scientist,160000,usd,160000,us,100,us,m
2022,mi,ft,data scientist,130000,usd,130000,us,100,us,m
2022,en,ft,data analyst,67000,usd,67000,ca,0,ca,m
2022,en,ft,data analyst,52000,usd,52000,ca,0,ca,m
2022,se,ft,data engineer,154000,usd,154000,us,100,us,m
2022,se,ft,data engineer,126000,usd,126000,us,100,us,m
2022,se,ft,data analyst,129000,usd,129000,us,0,us,m
2022,se,ft,data analyst,150000,usd,150000,us,100,us,m
2022,mi,ft,ai scientist,200000,usd,200000,in,100,us,l
